BestellungID;KundeID;VereinsPartnerID;Kaufdatum;Kreditkarte;GueltigBis;KKFirma;ProduktID;Menge;Preis;Rabatt
RS00004808;;;26.01.2025;;;;113;30;4,5;3,0
RS00004809;;;26.01.2025;;;;27;4;2,0;1,5
RS00004810;84;Blaetterglueck;26.01.2025;3797 1944 9461 936;01/27;VISA;83;5;0,8;0,0
RS00004811;;;26.01.2025;3054 0972 5673 99;08/26;Mastercard;110;45;0,5;1,5
RS00004812;;;26.01.2025;4118 2331 4885 3;07/32;American;111;45;8,0;0,5
RS00004813;;;26.01.2025;;;;54;32;5,0;0,0
RS00004814;;;26.01.2025;4758 8380 3731 9323 ;12/29;JCB;125;36;7,0;2,0
RS00004815;;;26.01.2025;2131 1590 8060 857;04/28;Maestro;59;42;3,0;2,0
RS00004816;;;26.01.2025;6011 5761 7988 7511 ;02/27;JCB;125;5;7,0;2,0
RS00004817;285;VolleRose;26.01.2025;;;;64;14;4,5;1,5
RS00004818;;;26.01.2025;2131 0185 4850 905;05/34;Maestro;113;21;4,5;1,0
RS00004819;151;WochenendGLück;26.01.2025;;;;105;19;5,0;1,0
RS00004820;55;GlückAuf;26.01.2025;5282 5527 1927 3086 ;01/32;JCB;32;34;5,0;2,5
RS00004821;;;26.01.2025;2720 9775 2069 5937 ;10/31;VISA;16;33;3,0;3,0
RS00004822;;;26.01.2025;;;;52;33;4,0;1,0
RS00004823;;;26.01.2025;4710 7436 6290 1717 ;07/33;Discover;114;1;4,5;0,5
RS00004824;;;26.01.2025;3036 6175 4489 67;12/30;Diners;63;26;4,5;0,5
RS00004825;;;26.01.2025;;;;51;23;2,0;1,0
RS00004826;;;26.01.2025;;;;101;21;2,0;0,0
RS00004827;;;26.01.2025;;;;60;3;0,5;1,5
RS00004828;;;26.01.2025;3514 2343 4944 6862 ;04/28;Maestro;45;32;2,0;1,5
RS00004829;;;26.01.2025;3049 5410 4009 60;01/34;American;21;29;4,0;0,5
RS00004830;99;WochenendGLück;26.01.2025;;;;42;19;2,4;2,0
RS00004831;;;26.01.2025;;;;20;46;8,0;1,5
RS00004832;;;26.01.2025;;;;52;16;4,0;2,0
RS00004833;;;26.01.2025;5018 2844 8511 ;07/31;VISA;56;46;7,0;0,5
RS00004834;;;26.01.2025;;;;12;34;4,0;2,0
RS00004835;270;Druff1848;26.01.2025;6761 2673 5387 ;10/33;American;115;6;4,5;2,5
RS00004836;;;26.01.2025;4354 3542 3961 1390 ;05/34;JCB;53;24;5,0;1,0
RS00004837;;;26.01.2025;;;;37;22;0,5;3,0
RS00004838;;;26.01.2025;;;;123;26;3,0;3,0
RS00004839;25;VolleRose;26.01.2025;;;;64;41;4,5;0,0
RS00004840;;;26.01.2025;4126 8584 2922 0344 496;05/27;VISA;80;2;4,0;0,5
RS00004841;256;;26.01.2025;;;;45;41;2,0;1,5
RS00004842;;;26.01.2025;1800 6979 9855 488;12/30;VISA;94;18;4,0;0,5
RS00004843;;;26.01.2025;3726 4867 0710 777;12/25;VISA;82;26;5,0;1,5
RS00004844;350;;26.01.2025;;;;116;4;3,0;1,5
RS00004845;66;;26.01.2025;;;;124;48;3,0;0,5
RS00004846;314;Morgenstern;26.01.2025;4696 9682 6979 6;04/34;JCB;32;35;5,0;0,5
RS00004847;;;26.01.2025;;;;63;10;4,5;0,5
RS00004848;;;26.01.2025;;;;72;47;2,0;0,5
RS00004849;;;26.01.2025;4721 0757 2480 1248 ;11/32;Mastercard;118;22;6,0;0,0
RS00004850;;;26.01.2025;;;;19;6;2,0;2,5
RS00004851;;;26.01.2025;;;;119;30;2,0;2,5
RS00004852;;;26.01.2025;5038 0084 7389 ;09/33;VISA;72;46;2,0;1,0
RS00004853;;;26.01.2025;3510 8666 8359 6853 ;04/26;Maestro;84;2;0,75;0,5
RS00004854;;;26.01.2025;6759 7719 0486 ;04/35;VISA;106;12;7,0;3,0
RS00004855;;;26.01.2025;;;;38;4;0,5;1,5
